90,56,7,110
40,35,34,48
39,58,100,109
122,24,0,35
17,118,2,97
58,19,65,56
113,1,96,12
12,84,42,102
46,116,48,5
95,79,35,44
5,86,9,29
16,6,58,92
63,107,107,56
25,44,89,40
117,92,88,78
63,72,88,115
36,31,101,124
56,21,17,43
87,80,72,57
5,24,74,119
125,47,126,67
62,5,113,60
109,37,87,23
68,2,44,2
96,78,65,87
87,65,125,118
55,41,88,34
78,49,74,106
13,38,91,9
36,5,51,45
35,119,81,102
87,18,86,119
113,37,53,119
30,115,39,125
42,116,48,76
26,83,58,26
47,120,8,39
85,113,99,122
21,18,1,20
119,3,79,97
106,112,19,46
59,82,60,64
34,35,126,126
75,127,41,118
26,10,78,52
82,106,109,41
84,115,42,109
52,10,74,91
37,109,59,126
100,101,47,98
42,110,55,54
24,49,116,42
4,10,52,84
26,23,16,39
120,18,126,100
26,84,78,25
36,41,95,117
37,4,65,90
46,98,73,46
72,1,55,124
90,35,23,96
69,104,49,70
59,55,31,99
63,114,106,15
19,3,120,41
90,114,24,62
99,4,112,127
10,94,75,62
14,81,104,47
86,127,73,94
47,120,64,65
111,104,11,52
99,76,70,81
64,14,1,55
80,31,40,101
122,106,113,105
4,75,5,7
18,49,113,13
28,80,103,88
121,88,120,113
17,10,1,3
42,47,77,14
121,43,61,32
53,124,24,85
41,31,51,38
16,47,19,21
112,88,85,50
26,83,98,35
6,92,35,14
88,19,83,95
33,89,1,125
27,59,67,13
31,92,58,109
86,77,55,92
96,34,2,100
12,70,31,66
17,118,80,121
105,120,9,99
58,60,29,115
44,92,16,76
15,100,30,45
33,98,116,12
29,51,68,125
49,4,126,48
17,72,100,26
115,84,73,102
106,17,5,110
1,126,93,17
26,100,123,16
75,84,125,84
44,29,16,26
98,122,64,23
47,60,26,84
50,35,42,80
53,42,8,44
106,44,19,86
106,93,1,42
75,55,78,69
96,52,93,28
88,119,45,120
65,24,90,115
99,103,3,91
66,121,4,68
45,117,7,106
97,92,9,30
94,27,126,84
114,111,39,121
59,26,75,78
72,4,33,39
51,51,6,94
73,53,58,72
97,47,5,105
107,74,86,111
72,104,44,120
58,91,15,50
77,102,52,89
24,38,14,31
89,104,2,65
25,42,63,12
103,80,116,79
110,90,109,104
61,108,13,105
6,59,33,100
57,102,14,3
14,101,10,71
68,10,62,6
63,28,15,5
14,111,31,53
91,33,16,43
98,125,28,4
22,58,54,125
0,2,34,106
123,78,21,32
120,48,123,0
81,86,63,79
73,97,25,40
95,68,88,88
114,60,102,67
49,75,118,18
127,107,16,4
27,17,48,62
123,34,17,29
88,83,82,81
15,116,69,29
51,71,110,94
6,1,126,101
97,33,122,78
38,38,39,107
63,38,101,99
110,6,45,90
83,1,39,1
88,80,124,10
11,4,106,99
115,89,4,41
71,69,14,8
59,60,93,67
5,13,119,61
64,61,51,79
103,54,19,69
55,114,86,32
42,59,74,79
86,52,92,43
27,87,23,119
78,7,99,63
64,48,39,60
3,84,54,96
32,47,10,121
25,78,13,34
17,64,15,125
52,35,116,107
59,94,18,5
64,33,96,76
115,100,34,19
96,28,31,14
95,63,123,19
33,5,6,89
79,82,117,126
65,66,59,103
109,76,57,66
116,109,64,89
118,12,12,81
46,93,100,100
99,25,59,99
35,75,119,48
115,9,80,14
66,60,42,92
48,16,69,124
24,75,51,58
49,89,39,31
34,46,107,9
109,56,30,124
67,94,45,106
27,104,5,25
20,115,115,37
59,80,79,105
20,98,63,53
5,47,34,24
43,108,9,109
12,103,38,51
49,40,117,121
36,17,38,104
79,66,82,62
16,73,84,6
23,14,120,39
67,34,0,70
92,75,30,29
6,111,84,70
4,122,30,117
0,20,44,110
14,101,124,94
57,65,90,2
66,109,84,75
85,24,39,64
13,15,83,45
95,92,32,27
57,108,37,56
32,97,81,52
77,125,43,60
31,38,46,87
115,14,38,36
121,17,4,100
4,97,127,77
1,106,6,43
79,87,120,14
8,90,12,99
117,55,76,107
1,68,73,122
55,61,50,2
37,0,92,48
83,69,28,117
7,14,61,126
2,120,95,21
126,7,41,111
124,20,81,91
14,34,83,48
83,117,100,43
5,83,52,66
70,46,111,52
37,30,7,84
41,38,127,47
94,100,7,102
42,72,32,121
33,120,69,3
110,102,38,34
29,16,92,113
124,53,63,37
47,28,36,100
50,57,5,27
4,83,114,88
1,70,27,111
18,77,43,84
101,42,88,18
10,27,23,10
25,111,57,119
66,30,103,70
64,0,105,45
102,49,26,100
62,97,87,2
54,42,10,15
48,15,102,79
100,21,108,43
27,97,109,37
15,91,99,111
103,98,89,38
61,3,51,100
124,23,103,17
115,124,92,126
115,3,126,3
57,94,9,60
80,24,105,61
66,82,69,91
5,26,57,43
86,76,42,58
1,112,71,56
124,6,57,62
43,38,104,116
52,54,82,16
105,92,127,87
9,19,66,76
71,23,81,93
8,122,6,55
24,9,115,13
38,1,24,81
120,118,122,108
90,0,14,30
49,6,29,32
63,44,40,51
60,119,15,15
64,126,93,44
30,55,12,1
100,81,46,84
9,25,51,63
108,36,42,89
93,121,79,10
51,45,23,44
25,40,109,33
52,118,113,18
33,77,47,93
93,95,119,79
46,82,109,116
104,13,43,52
7,51,91,32
20,88,76,42
17,33,123,117
48,4,107,88
40,3,93,102
38,22,82,45
127,6,55,14
40,80,52,52
60,5,4,112
116,103,27,51
85,67,4,6
12,63,53,75
22,122,17,25
26,122,72,77
43,112,74,113
36,105,53,51
55,105,100,29
